</s>
是_v	并非_v
有_v	有有_v 如_v
人_n	死亡者_n
中国_ns	亚洲_ns
说_v	苦笑_v 道_v 回答_v 开玩笑_v 解释_v ＂_v
记者_n	实习生_n
大_a	巨大_a 小_a
为_v	计算_v 即_v 相加_v 低于_v 高于_v 高於_v
工作_v	创卫_v 巡视_v 下步_v 保电_v 迎检_v
多_a	少_a
发展_v	跨越_v 推动_v 全球化_v 繁荣_v
公司_n	股份_n 高管_n 集团_n 有限公司_n 经纪_n 子公司_n
新_a
表示_v	回应_v 表态_v 透露_v 接受_v 称_v 转述_v 说_v
好_a	足_a 不错_a 不好_a
让_v	恭维_v 兴奋_v 令_v 叹服_v
管理_v	规范_v 属地化_v 监管_v 归口_v 精细化_v 监督_v
市场_n	交易量_n 回暖_n
企业_n	民企_n 台资_n 行业_n
问题_n	根源_n 分歧_n 症结_n 老大难_n 对策_n 根本_n 严重性_n
经济_n	转型期_n 县域_n 国民经济_n 金融业_n 宏观_n
人员_n	消防员_n 检查员_n 人员会_n 救援组_n
建设_v	现代化_v 改造_v 建成_v 推进_v 加快_v 规划_v 配套_v
基金_n	公募_n 银信_n 债券_n
时间_n	小时_n 星期_n 间隔_n
活动_v	展评_v 节庆_v
今年_t	去年_t 一月份_t 去年底_t 年初_t 五月份_t 四月份_t 三月份_t 中旬_t 上旬_t 九月份_t 二月份_t 十月份_t 下旬_t 上半年_t 年底_t 明年_t
国家_n	大国_n 能源局_n 总局_n 第三世界_n 科技部_n
高_a	低_a
服务_v	便民_v 社会化_v
来_v	看看_v 找找_v 想想_v 去_v 看_v
人民网_n	今报_n 大河网_n 留言板_n
社会_n	事业_n 公义_n 维护者_n 风气_n 方方面面_n 法治_n
要_v	坚持_v 做_v
到_v	等_v 坐车_v
看_v	看看_v 回过_v 记得_v 来_v 好像_v
北京_ns	上海_ns
做_v	要_v 做起_v
会_v	能_v
河南_ns	驻马店_ns
项目_n	投资_n 投资额_n 项目数_n 建设期_n
小_a
安全_a
部门_n	安监局_n 上级_n 药监_n 食药监_n 职能_n 政府部门_n 民政_n
称_v	指称_v 否认_v 证实_v 回应_v 声称_v 知情_v 透露_v 接获_v 猜测_v 澄清_v
频道_n	言论_n 管理员_n 新浪网_n
美国_ns	澳大利亚_ns 印度_ns 加拿大_ns 英国_ns 韩国_ns
投资_v	创投_v 参股_v
政府_n	政府部门_n 中央政府_n 高官_n 自治体_n 官员_n 采购法_n 当局_n
开始_v	进入_v 结束_v 迎来_v 过去_v 赶上_v
文化_n	内涵_n 瑰宝_n 名城_n 人文_n 朱子_n 祖地_n 根亲_n 茶文化_n 湖湘_n 广府_n
银行_n	邮储_n 总行_n 同业_n 股份制_n 存款_n
副_a
比赛_v	开赛_v 决赛_v
价格_n	菜籽油_n 鲜蛋_n 价格会_n 豆油_n 销售价_n 批发价_n 零售价_n 肉价_n
国际_n	防务展_n 汽车展_n 年会_n 国际性_n 服装节_n 篮球节_n
发现_v	断定_v 辨认_v 疑似_v 观察_v
产品_n	冷鲜肉_n 包装_n 日用百货_n 小家电_n 市面_n 品类_n 品牌_n 生产商_n
法律_n	法规_n 行为_n 消防法_n 责任_n 禁止性_n 条文_n 道德_n 强制力_n 规制_n
了解_v	获知_v 获悉_v 走访_v 探访_v 询问_v
城市_n	中心城_n 核心区_n 卫星城_n 新城区_n 城市群_n 老城区_n 主城区_n 省会_n 大都市_n 中心区_n 综合体_n
电_n	日报_n 新华网_n
政策_n	信贷_n 新政_n 决策层_n 救市_n
中心_n	市政务_n 气象室_n 分中心_n 大厅_n
全国_n	土地日_n 百强县_n 文明网站_n 全省_n 省_n 全盟_n 全市_n
生活_v
介绍_v
现在_t	过去_t
能_v	让_v 指望_v 足够_v
市_n	商务委_n 安监局_n 水务局_n 省_n 县_n 委办局_n 财政局_n 经信局_n 辖市_n 卫生局_n 文广局_n 区_n
地区_n	全境_n
增长_v	增速_v 放缓_v
技术_n	光电子_n 科技_n 微电子_n 基础科学_n
影响_v	产生_v 减弱_v 受_v 导致_v
重要_a	主要_a 首要_a
孩子_n	妈妈_n 小孩子_n 爸爸_n 女儿_n 小孩_n 爸妈_n 父母_n
走_v	狂奔_v 小跑_v 站_v 跑_v
去_v	来_v 有空_v 没事_v 想_v 看看_v 等_v 找_v
世界_n	体坛_n
单位_n	企事业_n 人事部门_n 领导人员_n 驻区_n 本辖区_n 党政机关_n
信息_n	实时_n 数据库_n 主页_n 登录网站_n 音视频_n 产业部_n 电子_n
行为_n	违规者_n 禁止性_n 行为人_n 道德_n
来源_n	云网_n 中工网_n 日报_n 作者_n 西部网_n 东南网_n 南方网_n 东方网_n 华龙网_n
责任_n	义务_n 侵权者_n
报道_v	刊出_v 引述_v 援引_v
车_n	轿车_n 车子_n 捷达车_n 小轿车_n 电动车_n 小车_n 拖车_n 电瓶_n 私家车_n 大车_n 车主_n 越野车_n 面包车_n
合作_v	交流_v 互利_v 互惠_v 互访_v
如_v	有_v 引用_v
系统_n	模块_n 子系统_n 传感器_n 北斗_n 总线_n 专网_n
要求_v	履行_v
学生_n	毕业班_n 小学生_n 班_n 高中生_n 特长班_n 家长_n 低年级_n 全校_n 班级_n 学校_n 高三_n
月_n	星期_n
参加_v	结束_v
群众_n	连心桥_n 疾苦_n 心坎_n 贴心人_n 百姓_n
打_v	回敬_v 丢_v 得手_v
方式_n
提高_v	增加_v 增强_v 注重_v 强化_v 提升_v 降低_v
机构_n	第三方_n 分支_n 定点_n 金融_n 银行业_n
媒体_n	太阳报_n 台媒_n 报道_n 镜报_n 周刊_n
显示_v	统计_v 公布_v
进入_v	在即_v 开始_v 迎来_v 结束_v 处於_v
希望_v	愿意_v 赞赏_v 愿_v 感谢_v 相信_v
产业_n	集聚区_n 高新技术_n 高新产业_n 产业群_n 茶产业_n 专业镇_n 战略性_n 产业链_n 产业园区_n 集群_n 服务业_n
调查_v	尸检_v 追查_v 勘验_v 查证_v 取证_v 查清_v
教育_v	教学_v 育人_v
直接_a
环境_n	承载力_n 状况_n 生态_n 水资源_n 小气候_n 气候_n 水体_n
无_v	碍_v 休止_v
生产_v	加工_v
意见_n	送审稿_n 办法_n 建议_n
使用_v	发泡_v 用作_v 专用_v 储存_v
加强_v	夯实_v 建立_v 重视_v 加大_v 深化_v 完善_v 推进_v 协作_v 强化_v 推动_v
请_v
达_v	累计_v 超过_v 高_v 近_v 相当_v 平均_v 增至_v 总计_v
用_v	洗_v 节约_v
实施_v	修订_v 明确_v 拟定_v 完善_v 废止_v 制定_v 施行_v 制订_v 分步_v 出台_v 颁布_v
工程_n	土建工程_n 桩基_n 标段_n
日本_ns	韩国_ns 防卫省_ns
人民_n	解放军_n 重托_n 共产党_n 子弟兵_n 福祉_n 党_n
标准_n	国Ⅳ_n 国标_n 国家标准_n 推荐性_n 标准松_n 限值_n 强制性_n
能力_n	素质_n 实战_n 协调性_n 战斗力_n 机动性_n
医院_n	脑外科_n 病房_n 病区_n 附院_n 急诊科_n 急诊_n 住院部_n 中医院_n
研究_v	分析_v
完成_v	过半_v 计划_v
资金_n	信贷资金_n 大笔_n 财政_n 资本金_n
获得_v	斩_v 获_v 斩获_v 赢得_v
增加_v	缩减_v 下降_v 猛增_v 超过_v 上升_v 减少_v 锐减_v 降低_v 不足_v 激增_v 增至_v
给_v	筹钱_v 送给_v 许诺_v 寄_v 借_v 交给_v 拿_v
先生_n	女士_n
支持_v	寻求_v 扶植_v 鼓励_v 力促_v 致力_v 呼吁_v 扶持_v 援助_v 希望_v
继续_v	稳定_v
行业_n	资本密集型_n 快递业_n 服装业_n 垄断性_n 钢铁_n 企业_n 产业链_n 纺织业_n
成_v	刨_v 就_v 切_v 串_v
过程_n
去年_t	一月份_t 去年底_t 年初_t 五月份_t 四月份_t 上月_t 上旬_t 二月份_t 前年_t 今年_t 上半年_t
学校_n	学生_n 小学部_n 小学_n 班级_n 初中_n 幼儿园_n 高中_n 中学_n
选择_v	挑选_v 首选_v 适合_v 心仪_v 考虑_v 喜好_v
拥有_v	留言_v 管理_v
汽车_n	轻卡_n 乘用车_n 重卡_n 零部件_n 微车_n 商用车_n
食品_n	蜜饯_n 酒类_n 肉食品_n 肉制品_n 添加剂_n 奶制品_n 肉品_n 乳制品_n 调味品_n
网友_n	跟帖_n 热议_n 微博_n 留言_n 帖子_n 菜头_n
使_v	有助於_v 减低_v 有助于_v
上海_ns	杭州_ns 成都_ns 大连_ns 深圳_ns 北京_ns 广州_ns 天津_ns 长春_ns 武汉_ns 沈阳_ns
大学_n	历史系_n 学院_n 经济系_n 哲学系_n 理工学院_n 法律系_n 数学系_n 分校_n 师范大学_n 理工大学_n
超过_v	占_v 低于_v 平均_v 高于_v 相当_v 达_v 接近_v 增至_v
市民_n	读者_n 车友_n
交通_n	公路_n 高速公路_n 主干线_n 道路_n
昨日_t	上午_t 昨晚_t 昨天_t 前日_t
吃_v	放盐_v 解馋_v
专业_n	统计学_n 医学类_n 工科_n 管理学_n 金融学_n 经济类_n 农学_n 法学_n 技术类_n 卫生类_n
水平_n	效率_n 质素_n 劳动生产率_n 储蓄率_n 水准_n 能力_n 素质_n
近_a	远_a 短短_a
积极_a	稳妥_a 努力_a
发布_v	披露_v 预警_v 公布_v
消息_n	媒体_n 报道_n 官方_n
会议_n	全会_n 筹备会_n 协商会_n 主席团_n 办公会议_n 闭幕会_n 大会_n 议程_n
